Sorszám;Megye;Járás;Járáshoz tartozó települések
1.;Baranya;Komló;Ág, Alsómocsolád,Bakóca, Baranyajenő, Baranyaszentgyörgy, Bikal, Bodolyabér, Egyházaskozár,Felsőegerszeg,Gerényes,Gödre,Hegyhátmaróc,Kárász,Kisbeszterce,Kishajmás,Kis-vaszar,Komló,Köblény,Liget,Mágocs,Magyaregregy,Magyarhertelend,Magyarszék,Mánfa, Máza,Mecsekpölöske,Mekényes,Meződ,Mindszentgodisa,Nagyhajmás,Oroszló,Palé,Sásd,Szágy,Szalatnak,Szárász,Szászvár,Tarrós,Tékes,Tófű,Tormás,Varga,Vásárosdombó, Vázsnok, Vékény
2.;;Mohács;Bár,Dunaszekcső,Erdősmárok, Feked, Geresdlak,Görcsönydoboka, Himesháza, Homorúd, Kisnyárád, Kölked, Lánycsók, Majs, Maráza, Mohács,  Nagynyárád, Palotabozsok,  Sátorhely, Somberek, Szebény, Székelyszabar, Szűr,  Udvar, Véménd
3.;;Pécs;Abaliget,  Áta, Bakonya, Baksa, Birján, Bogád, Bosta, Cserkút, Egerág, Ellend, Görcsöny, Gyód, Hosszúhetény, Husztót,  Keszü, Kisdér, Kisherend, Kovácsszénája, Kozármisleny, Kökény, Kővágószőlős, Kővágótöttös, Lothárd, Magyarsarlós,   Nagykozár,  Ócsárd,  Orfű, Pécs, Pécsudvard,  Pellérd, Pogány, Regenye, Romonya, Szalánta, Szemely, Szilvás, Szőke, Szőkéd, Tengeri, Téseny
4.;;Sellye;Adorjás, Baranyahídvég, Besence, Bogádmindszent, Bogdása, Csányoszró, Drávafok, Drávaiványi, Drávakeresztúr, Drávasztára, Felsőszentmárton, Gilvánfa, Hegyszentmárton, Hirics, Kákics, Kemse, Kisszentmárton, Kórós, Lúzsok, Markóc, Marócsa, Nagycsány, Okorág, Ózdfalu, Páprád, Piskó, Sámod, Sellye, Sósvertike, Vajszló, Vejti, Zaláta
5.;;Siklós;Alsószentmárton, Babarcszőlős, Beremend, Bisse, Cún, Csarnóta, Diósviszló, Drávacsehi, Drávacsepely, Drávapalkonya, Drávapiski, Drávaszabolcs, Drávaszerdahely, Egyházasharaszti, Garé, Gordisa, Harkány, Illocska, Ipacsfa, Ivánbattyán, Kásád, Kémes, Kisharsány, Kisjakabfalva, Kiskassa, Kislippó, Kistapolca, Kistótfalu, Kovácshida, Lapáncsa, Magyarbóly, Márfa, Márok, Matty, Nagyharsány, Nagytótfalu, Old, Palkonya, Pécsdevecser, Peterd, Rádfalva, Siklós, Siklósbodony, Siklósnagyfalu, Szaproca, Szava, Tésenfa, Túrony,Újpetre, Villány,Villánykövesd, Vokány
6.;;Szentlőrinc;Aranyosgadány, Bicsérd, Boda, Bükkösd, Cserdi, Csonkamindszent, Dinnyeberki, Gerde, Gyöngyfa,Helesfa, Hetvehely, Kacsóta, Királyegyháza, Kisasszonyfa, Magyarmecske, Magyartelek, Nagyváty, Okorvölgy, Pécsbagota, Sumony, Szabadszentkirály, Szentdénes, Szentkatalin, Szentlőrinc, Velény, Zók
7.;;Szigetvár;Almamellék, Almáskeresztúr, Bánfa, Basal, Boldogasszonyfa, Botykapeterd, Bürüs, Csebény, Csertő, Dencsháza, Endrőc, Gyöngyösmellék, Hobol, Horváthertelend, Ibafa, Katádfa, Kétújfalu, Kisdobsza, Kistamási, Magyarlukafa, Merenye, Molvány, Mozsgó, Nagydobsza, Nagypeterd, Nemeske, Nyugotszenterzsébet, Patapoklosi, Pettend, Rózsafa, Somogyapáti, Somogyhárságy, Somogyhatvan, Somogyviszló, Szentegát, Szentlászló, Szigetvár, Szörény, Szulimán, Teklafalu, Tótszentgyörgy, Várad, Vásárosbéc, Zádor 
8.;;Pécsvárad;Apátvarasd, Berkesd, Erdősmecske, Erzsébet, Fazekasboda, Hidas, Kátoly, Kékesd, Lovászhetény, Martonfa, Mecseknádasd, Nagypall, Óbánya, Ófalu, Pécsvárad, Pereked, Szellő, Szilágy, Zengővárkony
9.;;Bóly;Bóly, Babarc, Belvárdgyula, Bezedek, Borjád, Hásságy, Ivándárda, Kisbudmér, Lippó, Liptód, Máriakéménd, Monyoród, Nagybudmér, Olasz, Pócsa, Sárok, Szajk, Szederkény, Töttös, Versend
10.;Bács-Kiskun;Bácsalmás;Bácsalmás, Bácsszőlős, Csikéria, Katymár, Kunbaja, Madaras, Mátételke, Tataháza
11.;;Baja;Bácsbokod, Bácsborsód, Bácsszentgyörgy, Baja, Bátmonostor, Csátalja, Csávoly, Dávod, Dunafalva, Érsekcsanád, Felsőszentiván, Gara, Hercegszántó, Nagybaracska, Nemesnádudvar, Rém, Sükösd, Szeremle, Vaskút    
12.;;Jánoshalma;Borota, Jánoshalma, Kéleshalom, Mélykút
13.;;Kalocsa;Bátya, Drágszél, Dunapataj, Dunaszentbenedek, Dusnok, Érsekhalma, Fajsz, Foktő, Géderlak, Hajós, Harta, Homokmégy, Kalocsa, Miske, Ordas, Öregcsertő, Szakmár, Újtelek, Uszód 
14.;;Kecskemét;Ágasegyháza, Ballószög, Felsőlajos, Fülöpháza, Helvécia, Jakabszállás, Kecskemét, Kerekegyháza, Kunbaracs, Ladánybene, Lajosmizse, Nyárlőrinc, Orgovány, Városföld   
15.;;Kiskőrös;Akasztó, Bócsa, Császártöltés, Csengőd, Dunatetétlen, Fülöpszállás, Izsák, Kaskantyú, Kecel, Kiskőrös, Páhi, Solt, Soltszentimre, Soltvadkert, Tabdi      
16.;;Kiskunfélegyháza;Bugac, Bugacpusztaháza, Fülöpjakab, Gátér, Kiskunfélegyháza, Kunszállás, Pálmonostora, Petőfiszállás
17.;;Kiskunhalas;Balotaszállás, Harkakötöny, Imrehegy, Kelebia, Kiskunhalas, Kisszállás, Kunfehértó, Pirtó, Tázlár, Tompa, Zsana       
18.;;Kiskunmajsa;Csólyospálos, Jászszentlászló, Kiskunmajsa, Kömpöc, Móricgát, Szank
19.;;Kunszentmiklós;Apostag, Dunaegyháza, Dunavecse, Kunadacs, Kunpeszér, Kunszentmiklós, Szabadszállás, Szalkszentmárton, Tass, Újsolt
20.;;Tiszakécske;Lakitelek, Szentkirály, Tiszaalpár, Tiszakécske, Tiszaug       
21.;Békés;Békés;Békés, Bélmegyer,Kamut,  Köröstarcsa, Mezőberény , Murony, Tarhos
